topology_test,calibration_normal_samples,test_samples_after_calibration,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro
36,200,4887,0.7530182115817475,0.8801562899143199,0.7615801589015162,0.7022639628861606,0.9953849346219694
49,200,4862,0.9985602632661457,0.9985783836416747,0.9982925462357557,0.9984317228028328,0.9999970690566558
64,200,4858,0.9477151090983944,0.951345668317748,0.9502793679422836,0.9441975779306484,0.999666965055937
100,200,4924,0.6768887083671812,0.7198355018143621,0.6553685550975029,0.6448542031430616,0.9427752247597707
