topology_test,train_topologies,test_samples,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro
36,"49, 64, 100",5087,0.5706703361509731,0.3930018774791074,0.5703419403247303,0.44504537075223316,0.9641246217855262
49,"36, 64, 100",5062,0.9932832872382458,0.9935545023696684,0.9931658291457286,0.9932479875172879,0.999769767819632
64,"36, 49, 100",5058,0.7941874258600238,0.7611134053643721,0.7965194704438118,0.735050515849228,0.9023327815883697
100,"36, 49, 64",5124,0.39988290398126464,0.26386037070384716,0.39712092130518234,0.298275926919648,0.8849755265762126
